Name,Latitude,Longitude,Elevation,Prominence,Isolation,State,Counties,Quad,Completed,Id
Rose Mount,39.3439,-119.918,10776,3636,33.36,NV,Washoe,Mount Rose,yes,16856
Houghton Mount,39.3341,-119.9395,10490,759,1.34,NV,Washoe,Mount Rose,no,40817
Relay Peak,39.3154,-119.9471,10338,318,1.36,NV,Washoe,Mount Rose,no,40840
Snowflower Mountain,39.3823,-119.9358,10243,383,2.82,NV,Washoe,Mount Rose NW,no,40858
Tamarack Peak,39.3183,-119.9216,9897,517,1.38,NV,Washoe,Mount Rose,no,40941
Slide Mountain,39.3128,-119.8844,9698,798,2.03,NV,Washoe,Mount Rose,no,40988
"""Chickadee Ridge""",39.2915,-119.8992,9225,685,1.67,NV,Washoe,Mount Rose,no,41206
Granite Peak,40.7909,-119.433,8980,3470,49.1,NV,Washoe,The Banjo,no,16887
Granite Benchmark,40.8141,-119.4306,8957,777,1.61,NV,Washoe,The Banjo,no,41389
Herlan Peak,39.2032,-119.9106,8860,600,3.71,NV,Washoe,Marlette Lake,no,41472
Tule Peak,39.9761,-119.7441,8723,3431,32.22,NV,Washoe,Tule Peak,no,16896
8703,39.2361,-119.9065,8703,363,2.29,NV,Washoe,Marlette Lake,no,41613
8544,40.7845,-119.4085,8544,324,1.36,NV,Washoe,The Banjo,no,41784
8407,39.223,-119.9001,8407,387,0.97,NV,Washoe,Marlette Lake,no,41926
Virginia Peak,39.7555,-119.4613,8366,3658,21.41,NV,Washoe,Pah Rah Mountain,no,16846
Peavine Peak,39.5868,-119.932,8266,2206,9.24,NV,Washoe,Verdi,yes,17472
8243,39.3703,-119.9837,8243,303,2.69,NV,Washoe,Mount Rose,no,42141
8208,39.1984,-119.8599,8208,468,2.74,NV,Washoe,Carson City,no,42198
Tohakum Peak,40.1793,-119.4553,8182,3512,18.68,NV,Washoe,Tohakum Peak NW,no,16878
Fox Mountain,41.0254,-119.5583,8182,2092,16.07,NV,Washoe,Fox Mountain,no,17596
Pyramid Benchmark,40.169,-119.457,8101,451,0.72,NV,Washoe,Tohakum Peak NW,no,42351
Pond Peak,39.6519,-119.4638,8035,867,7.17,NV,Washoe,Olinghouse,no,42451
State Line Peak,40.0299,-119.9792,7990,2700,10.44,NV,Washoe,State Line Peak,no,17139
7949,40.0271,-119.8275,7949,1139,5.65,NV,Washoe,Spanish Flat,no,42570
7923,39.6877,-119.4518,7923,427,2.56,NV,Washoe,Olinghouse,no,42618
Hays Canyon Peak,41.2734,-119.9341,7916,2026,11.13,NV,Washoe,Hays Canyon,no,17620
Petersen Mountain,39.7959,-119.9762,7857,2527,10.23,NV,Washoe,Granite Peak,no,17212
7785,39.6994,-119.456,7785,305,0.84,NV,Washoe,Olinghouse,no,42835
7772,40.7416,-119.396,7772,522,3.04,NV,Washoe,Godeys Rock,no,42872
Hog Ranch Mountain,41.1084,-119.4265,7700,1120,8.6,NV,Washoe,Leadville,no,42999
7686,41.331,-119.9071,7686,586,4.22,NV,Washoe,Hays Canyon,no,43039
7663,41.074,-119.4287,7663,523,2.38,NV,Washoe,Leadville,no,43080
Wagon Tire Mountain,40.8889,-119.4862,7635,815,5.94,NV,Washoe,Melody Mountain,no,43139
Home Benchmark,41.3467,-119.9356,7630,450,1.84,NV,Washoe,Hays Canyon,no,43146
Pah-Rum Peak,40.3905,-119.5754,7608,2459,15.92,NV,Washoe,Pah-Rum Peak,no,17262
7574,40.1118,-119.4507,7574,714,3.97,NV,Washoe,Dove Creek,no,43262
Fortynine Mountain,41.5522,-119.9348,7558,1328,14.21,NV,Washoe,Fortynine Mountain,no,43283
Dogskin Mountain,39.8925,-119.7906,7486,2057,6.29,NV,Washoe,Dogskin Mountain,no,17641
Monte Benchmark,39.8324,-119.5507,7486,679,7.13,NV,Washoe,Moses Rock,no,43428
7472,39.9161,-119.8062,7472,337,1.83,NV,Washoe,Dogskin Mountain,no,43461
Scott Mount,39.2619,-119.7052,7467,807,3.43,NV,Washoe,Virginia City,no,43472
7460,40.0358,-119.8066,7460,570,1.26,NV,Washoe,Spanish Flat,no,43488
7450,40.8524,-119.4899,7450,390,2.53,NV,Washoe,The Banjo,no,43513
Spanish Springs Peak,39.6491,-119.5787,7401,889,6.12,NV,Washoe,Spanish Springs Peak,no,43617
7376,41.5155,-119.9357,7376,316,2.54,NV,Washoe,Fortynine Mountain,no,43681
7365,39.8849,-119.7763,7365,361,0.92,NV,Washoe,Dogskin Mountain,no,40687
7309,40.1837,-119.4744,7309,529,1.05,NV,Washoe,Tohakum Peak NW,no,43790
Boulder Mountain,41.3075,-119.7883,7305,595,6.38,NV,Washoe,Boulder Mountain,no,43796
7300,40.393,-119.6038,7300,520,1.51,NV,Washoe,Pah-Rum Peak,no,43809
Catnip Mountain,41.849,-119.3892,7294,1364,31.44,NV,Washoe,Swan Lake,no,43828
7270,40.0566,-119.78,7270,300,2.01,NV,Washoe,Spanish Flat,no,141923
7226,40.4375,-119.569,7226,566,3.27,NV,Washoe,Pah-Rum Peak,no,43967
Metzker Peak,41.6333,-119.92,7205,1015,5.66,NV,Washoe,Carter Reservoir,no,44013
Melody Mountain,40.9485,-119.4685,7205,435,4.23,NV,Washoe,Melody Mountain,no,44014
7201,39.9148,-119.8237,7201,394,0.93,NV,Washoe,Dogskin Mountain,no,44021
Yellow Peak,41.836,-119.625,7191,1216,12.18,NV,Washoe,Bald Mountain,no,44038
Badger Mountain,41.615,-119.3328,7190,1100,16.45,NV,Washoe,Badger Mountain SE,no,44045
Freds Mountain,39.779,-119.8533,7188,1496,6.64,NV,Washoe,Bedell Flat,no,44046
Moses Rock,39.8213,-119.5366,7181,308,1.07,NV,Washoe,Moses Rock,no,44060
7173,41.5793,-119.9302,7173,563,1.89,NV,Washoe,Fortynine Mountain,no,44119
7143,41.9415,-119.853,7143,993,13.82,NV,Washoe,Little Coleman Canyon,no,44132
Sweetwater Benchmark,40.2483,-119.4686,7114,620,4.48,NV,Washoe,Tohakum Peak NW,no,44191
Red Rock Benchmark,39.8551,-119.9909,7109,400,4.17,NV,Washoe,Granite Peak,no,44200
Fish Creek Mountain,41.7463,-119.3337,7081,571,3.57,NV,Washoe,Blowout Mountain,no,44269
7078,40.0525,-119.7584,7078,328,1.18,NV,Washoe,Spanish Flat,no,142295
7072,40.0963,-119.7819,7072,362,2.75,NV,Washoe,Spanish Flat,no,44288
Badger Mountain North,41.6375,-119.3699,7066,390,2.47,NV,Washoe,Blowout Mountain,no,44315
7064,41.6546,-119.3494,7064,414,1.59,NV,Washoe,Blowout Mountain,no,44305
7046,41.8195,-119.6439,7046,316,1.5,NV,Washoe,Calcutta Lake,no,44347
Lone Spring Mountain,41.518,-119.6368,7036,1026,15.48,NV,Washoe,Painted Point,no,44369
6995,41.4656,-119.6408,6995,525,3.63,NV,Washoe,Powers Well,no,44535
Mahogany Mountain,41.2972,-119.4737,6979,989,13.29,NV,Washoe,Mahogany Mountain,no,44501
6971,39.6342,-119.5558,6971,393,1.6,NV,Washoe,Spanish Springs Peak,no,44517
Nut Mountain,41.5908,-119.4565,6920,794,5.52,NV,Washoe,Nut Mountain,no,44628
Rowland Mountain,40.8551,-119.9465,6911,531,10.3,NV,Washoe,Hole In The Ground,no,44640
Cherry Mountain,41.147,-119.746,6908,858,11.32,NV,Washoe,Bordwell Spring,no,44649
6895,40.9232,-119.4939,6895,605,2.2,NV,Washoe,Melody Mountain,no,44687
6881,40.2328,-119.4775,6881,301,1.17,NV,Washoe,Tohakum Peak NW,no,44712
Big Hat Mountain,41.4538,-119.9482,6870,600,4.32,NV,Washoe,Big Hat Mountain,no,44732
Louse Benchmark,39.4096,-119.6645,6862,552,5.43,NV,Washoe,Steamboat,no,44751
Sheep Peaks North,41.1367,-119.3333,6854,594,1.45,NV,Washoe,McConnel Canyon,no,44773
