"Class" "Downstream" "Upstream"
2 0.722182391 0.794955032
1 0.66316312 0.475039335
2 0.718481708 0.665817197
1 0.707545604 0.380820431
3 0.644320931 0.823250987
2 0.624405048 0.446513253
2 0.810696144 0.694882376
3 0.877982744 0.699776602
2 0.868397764 0.62439576
3 0.909705799 0.790969612
1 0.560599588 0.36972688
3 0.77288931 0.787446834
3 0.642212242 0.72772873
3 0.508649336 0.803343783
2 0.738630669 0.441349632
1 0.852347284 0.356351195
1 0.82406458 0.404974484
2 0.651276736 0.349568965
2 0.535662336 0.66984938
3 0.455944837 0.592140577
2 0.814582884 0.576689688
2 0.734002175 0.562103266
3 0.898669586 0.812355402
2 0.672892152 0.64478187
2 0.878168927 0.697144675
2 0.64069855 0.585942619
2 0.570342263 0.442962527
3 0.663365724 0.805490407
3 0.624158113 0.735090706
2 0.932210805 0.549867846
